stop_id,stop_name,stop_lat,stop_lon
1,Wilczak,53.1294135492593,17.9572550908939
2,Nakielska - Słoneczna,53.1283560685915,17.9632524445479
3,Nakielska - Wrzesińska,53.1272541854601,17.9695753594742
4,Nakielska - Stawowa,53.1262630728466,17.9761298714811
5,Nakielska - Wrocławska,53.1260701920012,17.9816779520702
6,Rondo Grunwaldzkie,53.1257255324662,17.9878882054908
7,Focha - Opera,53.1251157480111,17.997114732459
8,Plac Teatralny,53.1243360026137,18.0012911554953
9,Rondo Jagiellonów,53.1235703761706,18.007038092338
10,Dworzec Autobusowy,53.1231208112664,18.0183979399606
11,Jagiellońska - Łużycka,53.1219203905781,18.0274175728341
12,Rondo Fordońskie,53.1209137190874,18.0341034805055
13,Fordońska - Bałtycka,53.1206384137236,18.0476871172021
14,tymczasowo ZAWIESZONY,53.1208655851977,18.0581073701881
15,Fordońska - Fabryczna,53.1222177454018,18.0663655963742
17,Fordońska - Wyścigowa,53.1246554820598,18.0760922481488
18,Wyścigowa,53.1253531294658,18.0769344659939
20,Fordońska - Fabryczna,53.1216804250484,18.0645334598961
21,tymczasowo ZAWIESZONY,53.1207185632249,18.0557799109956
22,Fordońska - Bałtycka,53.1207201650599,18.0473042450211
23,Rondo Fordońskie,53.1209696388291,18.033673915632
24,Jagiellońska - Łużycka,53.1219416239541,18.0276432980264
25,Dworzec Autobusowy,53.1232267494944,18.0181213332738
26,Rondo Jagiellonów,53.1236343458011,18.0069977130451
27,Focha - Opera,53.125177834575,17.9971489550551
28,Rondo Grunwaldzkie,53.1258149634859,17.9871917638632
29,Nakielska - Wrocławska,53.1261670681039,17.9810418090349
31,Nakielska - Wrzesińska,53.1273917860522,17.9691064379577
32,Nakielska - Słoneczna,53.1284088165492,17.9633009285576
34,Rondo Jagiellonów,53.1233762644966,18.0086689468175
39,Rondo Toruńskie,53.1169575927852,18.0347813059137
43,Wyżyny,53.1079787827867,18.038108767532
44,Wojska Polskiego - Kładka,53.1101138773045,18.030204183241
45,Wojska Polskiego - Ujejskiego,53.1138288769027,18.0230972340764
46,Wzgórze Wolności,53.1146864325368,18.0176572204895
47,Rondo Kujawskie,53.1146285018539,18.0089395261928
48,Wzgórze Wolności,53.1147065238145,18.0154465850317
49,Wojska Polskiego - Ujejskiego,53.1137375927922,18.0231506092889
50,Wojska Polskiego - Kładka,53.1100712741879,18.0301115176043
51,Wyżyny,53.1079451153124,18.037314362161
55,Rondo Toruńskie,53.117020048563,18.034800655167
61,Glinki,53.0975928487967,18.0412459479713
62,Szpitalna - Solna,53.0990545732161,18.0435155585812
63,Szpitalna - Łomżyńska,53.1023936862961,18.0448123475944
65,Szpitalna - Łomżyńska,53.1024053357638,18.0447085764479
66,Szpitalna - Solna,53.099039673332,18.0433949788219
67,Toruńska - Perłowa,53.1154922061675,18.0453200055959
68,Toruńska - Filmowa,53.114999863545,18.0515477536924
69,Toruńska - Kazimierza Wielkiego,53.115665152471,18.0596063470381
70,Toruńska - Zajezdnia Tramwajowa,53.1160646670083,18.0639992272009
71,Toruńska - Tor awaryjny,53.1176337420196,18.0697610272214
72,Toruńska - Równa,53.1179012759624,18.0764616660626
73,Toruńska - Kielecka,53.1181648690224,18.0829528501153
74,Toruńska - Sporna,53.1181987257502,18.0878880225665
